软件研发项目-成本估算,,,,,,,,,,,,,,,,,,,,,
备注：此报价仅为开发成本，不包含公司利润、管理成本、税率等。,,,,,,,,,,,,,,,,,,,,,
序号,分项名称,项目交付周期（月）,平均每月投入人数,"工作量
（人天）","单价
（万元）",说明,金额（万元）,,,,,,,,,,,,,,
1,软件研发成本,4,5,215.86005,0.16,详见《新功能开发》，预估8人实施团队,35 ,,,,,,,,,,,,,,
2,系统对接工作量,,,165.2293,0.16,详见《系统对接工作量》,26 ,,,,,,,,,,,,,,
3,差旅成本,0,0,0,1.2,成本包含出差交通、住宿和补助费用,0 ,,,,,,,,,,,,,,
4,运维成本,24,0.5,258,0.16,按照每月0.5人预估，默认运维两年,41 ,,,,,,,,,,,,,,
5,风险成本,,,,38.3,,38 ,,,,,,,,,,,,,,
报价总计,,,,,,,141 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,