评估项,选择/描述,得分,
项目阶段 (project_phase),需求已明确，属于规划阶段,5,
目标用户群体 (user_group_complexity),主要是内部用户（园区管理者和各部门）,0,
售前支持复杂性 (pre_sales_complexity),需求文档详尽，但涉及多系统对接和国际合规，属于复杂,8,
部署环境 (deployment_complexity),需要对接多种数据采集装置，可能涉及混合部署,10,
用户体验 (user_experience_requirement),需要展示多种图表（桑基图等），提供多维度筛选，属于专业界面,8,
验收标准 (acceptance_criteria_complexity),功能点明确，但涉及数据准确性、算法模型等，属于一般标准,5,
业务问题复杂度 (business_problem_complexity),涉及跨部门（电、水、热、油）流程整合和国际合规，属于中等复杂,8,
数据源复杂度 (data_source_complexity),需要对接电、水、热、油等多种数据源，包括自动采集和手动填报，属于混合数据源,15,
数据处理复杂度 (main_data_processing),需要进行碳排放核算、强度计算、趋势预测等，属于复杂处理,20,
后端架构 (backend_architecture_complexity),需要支持实时数据处理、模型预测、多维度分析，属于复杂架构,30,
负责人重要性 (leader_importance),涉及多部门协调和国际合规，需要高度参与,12,
文档要求 (documentation_requirements),需要满足国际合规，文档要求完整,8,
项目管理 (project_management_complexity),需要协调多个数据源和部门，属于中等管理,10,
总计,,139,
"风险等级: 139 < 200, 高风险",,,
,,,